PM10,EPA_index,CO,temperature,humidity,PM25_lag_1,PM25_lag_2,PM25_lag_3,PM25_rolling_mean_3,PM10_rolling_mean_3,CO_rolling_mean_3,PM25_rolling_mean_6,PM10_rolling_mean_6,CO_rolling_mean_6,PM25_rolling_mean_12,PM10_rolling_mean_12,CO_rolling_mean_12
35.8,2,1094.8,26.9,83,15.4,19.9,16.5,17.066666666666663,37.5,1179.3666666666666,18.616666666666667,37.56666666666667,1283.95,21.283333333333335,43.25,1361.2916666666667
40.5,2,1081.5,26.7,84,15.9,15.4,19.9,15.733333333333329,36.63333333333333,1072.5666666666666,17.48333333333333,37.4,1181.6000000000001,20.183333333333334,41.64166666666667,1304.55
30.9,2,1148.2,28.3,71,15.9,15.9,15.4,16.23333333333333,35.73333333333333,1108.1666666666667,16.75,36.06666666666667,1143.7666666666667,20.741666666666664,41.85,1340.7083333333333
25.0,1,934.6,25.5,93,16.9,15.9,15.9,15.633333333333328,32.13333333333333,1054.7666666666667,16.349999999999998,34.81666666666667,1117.0666666666666,18.508333333333336,38.541666666666664,1211.6416666666667
38.8,2,1401.9,25.6,88,14.1,16.9,15.9,17.699999999999996,31.566666666666663,1161.5666666666668,16.716666666666665,34.1,1117.0666666666668,17.841666666666665,36.666666666666664,1203.8500000000001
32.4,2,1134.9,28.3,72,22.1,14.1,16.9,17.93333333333333,32.06666666666666,1157.1333333333334,17.083333333333332,33.9,1132.6499999999999,17.958333333333332,35.925000000000004,1210.5249999999999
34.3,2,1241.7,28.9,71,17.6,22.1,14.1,19.866666666666664,35.166666666666664,1259.5,17.75,33.65,1157.1333333333334,18.183333333333334,35.608333333333334,1220.5416666666667
61.1,2,2136.2,27.5,85,19.9,17.6,22.1,24.566666666666663,42.6,1504.2666666666664,21.133333333333336,37.083333333333336,1332.9166666666667,19.308333333333334,37.24166666666667,1257.2583333333334
36.3,2,1081.5,29.3,70,36.2,19.9,17.6,24.2,43.9,1486.4666666666665,21.066666666666666,37.98333333333333,1321.8,18.90833333333333,37.025,1232.7833333333335
28.4,1,948.0,26.0,92,16.5,36.2,19.9,22.399999999999995,41.93333333333333,1388.5666666666666,21.133333333333336,38.55,1324.0333333333335,18.741666666666664,36.68333333333333,1220.5500000000002
70.1,3,2216.3,27.8,83,14.5,16.5,36.2,24.33333333333333,44.93333333333333,1415.2666666666667,24.45,43.76666666666667,1459.7666666666667,20.583333333333332,38.93333333333333,1288.4166666666667
45.4,2,1241.7,27.8,83,42.0,14.5,16.5,26.2,47.96666666666666,1468.6666666666667,25.200000000000003,45.93333333333333,1477.5666666666668,21.14166666666667,39.916666666666664,1305.1083333333333
70.7,3,2777.1,30.0,70,22.1,42.0,14.5,36.4,62.06666666666666,2078.366666666667,29.400000000000002,52.0,1733.4666666666665,23.575,42.824999999999996,1445.3000000000002
69.8,2,2243.0,30.3,69,45.1,22.1,42.0,35.56666666666666,61.96666666666666,2087.266666666667,29.95,53.449999999999996,1751.2666666666664,25.541666666666668,45.26666666666666,1542.091666666667
48.4,2,1081.5,31.1,61,39.5,45.1,22.1,35.43333333333333,62.96666666666666,2033.8666666666668,30.816666666666663,55.46666666666666,1751.2666666666664,25.941666666666666,46.724999999999994,1536.5333333333335
78.2,2,1762.4,30.3,69,21.7,39.5,45.1,33.699999999999996,65.46666666666667,1695.6333333333332,35.05,63.76666666666667,1887.0,28.09166666666667,51.15833333333333,1605.5166666666667
41.2,2,1108.2,30.8,64,39.9,21.7,39.5,26.299999999999994,55.93333333333334,1317.3666666666668,30.933333333333337,58.949999999999996,1702.3166666666666,27.691666666666666,51.35833333333334,1581.0416666666667
27.1,1,974.7,31.3,62,17.3,39.9,21.7,23.333333333333325,48.833333333333336,1281.7666666666667,29.38333333333333,55.9,1657.8166666666666,27.291666666666668,50.916666666666664,1567.6916666666666
43.9,2,1428.6,30.0,65,12.8,17.3,39.9,17.599999999999994,37.400000000000006,1170.5,25.650000000000002,51.43333333333334,1433.0666666666666,27.525000000000002,51.71666666666667,1583.2666666666667
41.8,2,1348.5,30.5,65,22.7,12.8,17.3,18.999999999999996,37.6,1250.6000000000001,22.650000000000002,46.76666666666667,1283.9833333333333,26.3,50.10833333333333,1517.625
51.4,2,1682.3,31.2,71,21.5,22.7,12.8,24.499999999999996,45.70000000000001,1486.4666666666665,23.916666666666668,47.26666666666667,1384.1166666666668,27.36666666666667,51.36666666666667,1567.6916666666668
39.7,2,1215.0,29.1,84,29.3,21.5,22.7,23.499999999999996,44.300000000000004,1415.2666666666667,20.55,40.85,1292.8833333333334,27.8,52.30833333333334,1589.9416666666668
51.3,2,1789.1,31.2,71,19.7,29.3,21.5,25.699999999999992,47.46666666666667,1562.1333333333332,22.349999999999998,42.53333333333333,1406.3666666666666,26.641666666666666,50.74166666666667,1554.3416666666665
31.5,1,867.8,31.0,71,28.1,19.7,29.3,20.83333333333333,40.833333333333336,1290.6333333333332,22.666666666666668,43.26666666666666,1388.55,26.025000000000002,49.583333333333336,1523.1833333333334
26.9,1,881.2,32.1,67,14.7,28.1,19.7,18.56666666666666,36.56666666666667,1179.3666666666666,21.033333333333335,40.43333333333334,1297.3166666666666,23.34166666666667,45.93333333333333,1365.1916666666666
57.8,2,2002.7,30.2,75,12.9,14.7,28.1,20.199999999999992,38.73333333333334,1250.5666666666666,22.95,43.1,1406.3499999999997,22.8,44.93333333333334,1345.1666666666667
39.4,2,1054.8,28.3,89,33.0,12.9,14.7,21.333333333333325,41.36666666666667,1312.8999999999999,21.083333333333332,41.1,1301.7666666666667,22.5,44.18333333333333,1342.9416666666666
55.4,2,1709.0,31.2,66,18.1,33.0,12.9,26.699999999999992,50.866666666666674,1588.8333333333333,22.633333333333336,43.71666666666667,1384.1000000000001,21.59166666666667,42.28333333333333,1338.4916666666666
51.9,2,1668.9,33.4,59,29.0,18.1,33.0,25.533333333333328,48.9,1477.5666666666668,22.866666666666664,43.81666666666666,1364.0666666666666,22.608333333333334,43.175000000000004,1385.216666666667
30.0,1,948.0,32.2,67,29.5,29.0,18.1,24.39999999999999,45.76666666666667,1441.9666666666665,22.86666666666667,43.56666666666666,1377.4333333333334,22.766666666666666,43.416666666666664,1382.9916666666668
18.5,1,614.2,25.3,89,14.7,29.5,29.0,17.39999999999999,33.46666666666667,1077.0333333333335,22.05,42.166666666666664,1332.9333333333334,21.541666666666668,41.300000000000004,1315.125
36.7,2,1361.9,32.1,59,8.0,14.7,29.5,14.26666666666666,28.400000000000006,974.7000000000002,19.900000000000002,38.65,1226.1333333333334,21.424999999999997,40.875,1316.2416666666666
